Latitude,Longitude,Elevation
19.11766000,72.86299000,37.0
19.11784000,72.86309000,37.0
19.11792000,72.86317000,37.0
19.11789000,72.86333000,37.0
19.11791000,72.86387000,32.0
19.11792000,72.86442000,30.0
19.11794000,72.86496000,31.0
19.11794000,72.86547000,29.0
19.11795000,72.86606000,27.0
19.11796000,72.86665000,29.0
19.11797000,72.86754000,27.0
19.11797000,72.86774000,27.0
19.11800000,72.86849000,27.0
19.11820000,72.86929000,23.0
19.11824000,72.86943000,22.0
19.11835000,72.86968000,21.0
19.11864000,72.87002000,23.0
19.11883000,72.87016000,23.0
19.11901000,72.87026000,24.0
19.11935000,72.87037000,25.0
19.11959000,72.87041000,26.0
19.11995000,72.87040000,28.0
19.12049000,72.87045000,31.0
19.12104000,72.87049000,32.0
19.12176000,72.87055000,33.0
19.12191000,72.87059000,32.0
19.12201000,72.87061000,32.0
19.12224000,72.87071000,31.0
19.12263000,72.87097000,33.0
19.12323000,72.87144000,35.0
19.12364000,72.87175000,34.0
19.12406000,72.87206000,36.0
19.12447000,72.87237000,36.0
19.12489000,72.87267000,35.0
19.12520000,72.87290000,35.0
19.12527000,72.87296000,35.0
19.12557000,72.87317000,32.0
19.12578000,72.87333000,30.0
19.12600000,72.87349000,30.0
19.12652000,72.87386000,33.0
19.12703000,72.87423000,36.0
19.12746000,72.87454000,37.0
19.12789000,72.87484000,34.0
19.12832000,72.87515000,34.0
19.12875000,72.87546000,39.0
19.12913000,72.87573000,41.0
19.12951000,72.87601000,40.0
19.13008000,72.87642000,35.0
19.13033000,72.87662000,35.0
19.13043000,72.87671000,35.0
19.13038000,72.87681000,35.0
19.13033000,72.87695000,35.0
19.13020000,72.87745000,32.0
19.13006000,72.87828000,31.0
19.12995000,72.87877000,31.0
19.12984000,72.87925000,28.0
19.12973000,72.87974000,27.0
19.12964000,72.88032000,30.0
19.12962000,72.88036000,30.0
19.12952000,72.88058000,30.0
19.12951000,72.88071000,31.0
19.12947000,72.88165000,26.0
19.12945000,72.88228000,23.0
19.12944000,72.88279000,21.0
19.12943000,72.88329000,21.0
19.12942000,72.88380000,22.0
19.12941000,72.88430000,19.0
19.12940000,72.88481000,20.0
19.12939000,72.88535000,21.0
19.12935000,72.88584000,28.0
19.12921000,72.88634000,29.0
19.12915000,72.88646000,28.0
19.12898000,72.88680000,28.0
19.12877000,72.88711000,30.0
19.12823000,72.88784000,26.0
19.12782000,72.88840000,23.0
19.12741000,72.88895000,23.0
19.12695000,72.88948000,24.0
19.12669000,72.88989000,29.0
19.12642000,72.89030000,27.0
19.12616000,72.89071000,25.0
19.12585000,72.89128000,30.0
19.12554000,72.89185000,31.0
19.12540000,72.89215000,31.0
