Latitude,Longitude,Elevation
19.08167000,72.88176000,5.0
19.08125000,72.88154000,7.0
19.08078000,72.88119000,8.0
19.08032000,72.88083000,7.0
19.07985000,72.88048000,7.0
19.07965000,72.88033000,7.0
19.07931000,72.88007000,7.0
19.07892000,72.87977000,4.0
19.07853000,72.87947000,4.0
19.07813000,72.87917000,4.0
19.07774000,72.87887000,5.0
19.07731000,72.87852000,5.0
19.07687000,72.87817000,6.0
19.07643000,72.87782000,5.0
19.07605000,72.87751000,5.0
19.07587000,72.87735000,5.0
19.07547000,72.87704000,6.0
19.07506000,72.87672000,7.0
19.07446000,72.87626000,6.0
19.07403000,72.87598000,6.0
19.07394000,72.87594000,6.0
19.07335000,72.87582000,7.0
19.07325000,72.87581000,7.0
19.07268000,72.87574000,8.0
19.07211000,72.87567000,7.0
19.07154000,72.87560000,5.0
19.07145000,72.87559000,5.0
19.07121000,72.87556000,5.0
19.07071000,72.87548000,4.0
19.07006000,72.87539000,7.0
19.06961000,72.87531000,9.0
19.06915000,72.87522000,10.0
19.06860000,72.87515000,8.0
19.06806000,72.87508000,8.0
19.06753000,72.87501000,8.0
19.06699000,72.87493000,7.0
19.06651000,72.87485000,5.0
19.06603000,72.87477000,6.0
19.06557000,72.87469000,7.0
19.06495000,72.87457000,8.0
19.06483000,72.87454000,8.0
19.06471000,72.87449000,7.0
19.06428000,72.87429000,6.0
19.06384000,72.87409000,6.0
19.06303000,72.87368000,7.0
19.06257000,72.87345000,7.0
19.06211000,72.87322000,6.0
19.06165000,72.87299000,5.0
19.06116000,72.87283000,6.0
19.06066000,72.87267000,6.0
19.06017000,72.87251000,5.0
19.05999000,72.87241000,5.0
19.05964000,72.87221000,5.0
19.05918000,72.87186000,6.0
19.05872000,72.87151000,4.0
19.05869000,72.87149000,4.0
19.05833000,72.87123000,3.0
19.05780000,72.87085000,3.0
19.05744000,72.87060000,5.0
19.05705000,72.87032000,4.0
19.05667000,72.87004000,4.0
19.05627000,72.86978000,4.0
19.05588000,72.86953000,4.0
19.05548000,72.86927000,3.0
19.05533000,72.86916000,3.0
19.05487000,72.86885000,4.0
19.05443000,72.86852000,4.0
